MJD	Mag
53804.99981	-7.331
53805.00395	-7.331
53805.00812	-7.275
53805.01228	-7.281
53805.01645	-7.283
53805.02062	-7.305
53805.02478	-7.355
53805.02895	-7.392
53805.03312	-7.438
53805.03728	-7.447
53805.04145	-7.469
53805.04562	-7.539
53805.04978	-7.503
53805.05395	-7.507
53805.05812	-7.468
53805.06228	-7.488
53805.06645	-7.467
53805.07062	-7.472
53805.07479	-7.448
53805.07896	-7.436
53805.08313	-7.411
53805.08729	-7.413
53805.09146	-7.359
53805.09563	-7.337
53805.09979	-7.308
53805.10396	-7.294
53805.10813	-7.295
53805.11229	-7.307
53805.11646	-7.272
53805.12063	-7.313
53805.12479	-7.354
53805.12896	-7.370
53805.13313	-7.379
53805.13729	-7.380
53805.14146	-7.401
53805.14563	-7.432
53805.14979	-7.455
53805.15396	-7.458
53805.15813	-7.420
53805.16229	-7.508
53805.16646	-7.520
53805.17063	-7.511
53805.17479	-7.526
53805.17896	-7.532
53805.18313	-7.498
53805.18729	-7.490
53805.19146	-7.495
53805.19563	-7.496
53805.19979	-7.567
53805.20396	-7.432
53805.20813	-7.439
53805.21229	-7.451
53805.21646	-7.328
53805.22064	-7.385
53805.22479	-7.345
53805.22896	-7.362
53805.23313	-7.330
53805.23729	-7.366
53805.24146	-7.337
53805.24563	-7.344
53805.24979	-7.325
53805.25396	-7.292
53805.25813	-7.291
53805.26229	-7.326
53805.26646	-7.256
53805.27063	-7.301
53805.27479	-7.362
53805.27896	-7.381
53805.28313	-7.426
53805.28729	-7.444
53805.29146	-7.497
53805.29563	-7.512
53805.29979	-7.484
53805.30396	-7.499
53805.30813	-7.513
53805.31229	-7.485
53805.31646	-7.461
53805.32063	-7.432
53805.32479	-7.438
53805.32896	-7.448
53805.33313	-7.389
53805.33729	-7.419
53805.34146	-7.401
53805.34563	-7.355
53805.34979	-7.322
53805.35396	-7.501
53805.35813	-7.306
53805.36229	-7.324
53805.36646	-7.688
53805.37063	-7.282
53805.37479	-7.317
53805.37896	-7.334
53805.38313	-7.377
53805.38731	-7.404
53805.39146	-7.394
53805.39563	-7.430
53805.39979	-7.394
53805.40396	-7.423
53805.40813	-7.549
53805.41229	-7.479
53805.41646	-7.484
53805.42063	-7.516
53805.42479	-7.502
53805.42896	-7.492
53805.43313	-7.508
53805.43729	-7.508
53805.44146	-7.513
53805.44563	-7.499
53805.44979	-7.449
53805.45396	-7.436
53805.45813	-7.395
53805.46229	-7.404
53805.46646	-7.390
53805.47063	-7.382
53805.47479	-7.349
53805.47896	-7.343
53805.48313	-7.341
53805.48729	-7.340
53805.49146	-7.326
53805.49563	-7.335
53805.49979	-7.313
53805.50396	-7.287
53805.50813	-7.328
53805.51229	-7.302
53805.51646	-7.301
53805.52063	-7.315
53805.52479	-7.314
53805.52896	-7.347
53805.53313	-7.391
53805.53729	-7.396
53805.54146	-7.449
53805.54563	-7.475
53805.54979	-7.480
53805.55396	-7.528
53805.55813	-7.478
53805.56229	-7.487
53805.56646	-7.507
53805.57063	-7.447
53805.57479	-7.456
53805.57896	-7.461
53805.58313	-7.451
53805.58729	-7.400
53805.59146	-7.512
53805.59563	-7.413
53805.59979	-7.347
53805.60396	-7.302
53805.60813	-7.267
53805.61229	-7.266
53805.61646	-7.292
53805.62063	-7.277
53805.62479	-7.504
53805.62896	-7.323
53805.63313	-7.563
53805.63729	-7.375
53805.64146	-7.431
53805.64563	-7.411
53805.64979	-7.432
53805.65396	-7.414
53805.65813	-7.463
53805.66229	-7.456
53805.66646	-7.486
53805.67063	-7.504
53805.67479	-7.496
53805.67896	-7.494
53805.68313	-7.506
53805.68729	-7.524
53805.69146	-7.508
53805.69563	-7.497
53805.69979	-7.473
53805.70396	-7.452
53805.70813	-7.479
53805.71229	-7.426
53805.71647	-7.384
53805.72064	-7.382
53805.72479	-7.397
53805.72896	-7.352
53805.73313	-7.349
53805.73729	-7.343
53805.74146	-7.487
53805.74563	-7.343
53805.74979	-7.328
53805.75396	-7.550
53805.75813	-7.326
53805.76229	-7.272
53805.76646	-7.249
53805.77063	-7.521
53805.77479	-7.274
53805.77896	-7.331
53805.78313	-7.399
53805.78729	-7.434
53805.79146	-7.474
53805.79563	-7.477
53805.79979	-7.493
53805.80396	-7.516
53805.80813	-7.509
53805.81229	-7.446
53805.81646	-7.478
53805.82063	-7.475
53805.82479	-7.449
53805.82896	-7.439
53805.83313	-7.438
53805.83729	-7.440
53805.84146	-7.549
53805.84563	-7.373
53805.84979	-7.349
53805.85396	-7.337
53805.85813	-7.300
53805.86229	-7.285
53805.86646	-7.325
53805.87063	-7.258
53805.87479	-7.307
53805.87896	-7.603
53805.88313	-7.345
53805.88729	-7.375
53805.89146	-7.381
53805.89564	-7.388
53805.90396	-7.442
53805.90813	-7.434
53805.91229	-7.448
53805.91646	-7.484
53805.92063	-7.449
53805.92479	-7.515
53805.92896	-7.506
53805.93313	-7.537
53805.93729	-7.510
53805.94146	-7.513
53805.94563	-7.541
53805.94979	-7.504
53805.95396	-7.509
53805.95813	-7.465
53805.96229	-7.465
53805.96646	-7.401
53805.97063	-7.388
53805.97479	-7.391
53805.97896	-7.357
53805.98313	-7.366
53805.98729	-7.345

